"Player","Team","Pos","Ht","Hometown","Exp","Debut","DOB","Age","G","MPG","PPG","RPG","APG"
"Natasha Cloud","WSH","G","5-09","Broomall, PA","","2015","1992-02-22","31","30","31.7","12.9","3.5","5.7"
"Chiney Ogwumike","LAS","DND","6-03","Tomball, TX","","2014","1992-03-21","31","18","11.5","4.7","2.4","0.7"
"Alyssa Thomas","CON","C","6-02","Harrisburg, PA","","2014","1992-04-12","31","34","36.7","15.9","9.9","8.1"
"Kayla McBride","MIN","G","5-10","Erie, PA","","2014","1992-06-25","31","32","31.2","13.8","3.2","2.1"
"Odyssey Sims","DAL","G","5-08","Irving, TX","","2014","1992-07-13","31","23","11.7","1.9","1.2","2.5"
"Robyn Parks","CHI","F","6-01","—","","2023","1992-07-19","31","30","12.4","3.8","1.6","0.4"
"Chelsea Gray","LVA","G","5-11","Hayward, CA","","2015","1992-10-08","30","35","31.8","15.2","3.9","7.2"
"Kayla Thornton","NYL","F","6-01","El Paso, TX","","2015","1992-10-20","30","33","16.8","4.9","3.6","0.8"
"Rebecca Allen","CON","F","6-02","Wangaratta, Australia","","2017","1992-11-06","30","34","20.5","6.4","2.8","0.9"
"Natalie Achonwa","MIN","DND","6-03","Toronto, Canada","","2015","1992-11-22","30","1","0.0","0.0","0.0","0.0"
"Kiah Stokes","LVA","F","6-03","Cedar Rapids, IA","","2015","1993-03-30","30","35","19.3","2.2","5.9","0.6"
"Elizabeth Williams","CHI","C","6-03","Colchester, United Kingdom","","2015","1993-06-23","30","33","28.8","9.5","5.7","2.3"
"Rachel Banham","MIN","G","5-09","Minneapolis, MN","","2016","1993-07-15","30","33","10.6","4.4","0.9","1.4"
"Cyesha Goree","WSH","F","6-02","Grand Rapids, MI","","2023","1993-08-04","30","10","11.2","3.9","1.2","0.1"
"Cheyenne Parker","ATL","C","6-04","Queens, NY","","2015","1993-08-22","30","32","25.5","14.2","6.7","1.8"
"Amanda Zahui B","IND","F","6-05","Stockholm, Sweden","","2015","1993-09-08","29","12","7.0","1.6","1.3","0.2"
"Isabelle Harrison","CHI","DND","6-03","Nashville, TN","","2016","1993-09-27","29","5","0.0","0.0","0.0","0.0"
"Jewell Loyd","SEA","G","5-10","Lincolnwood, IL","","2015","1993-10-05","29","32","33.4","23.8","4.2","3.3"
"Betnijah Laney","NYL","F","6-00","Clayton, DE","","2015","1993-10-29","29","33","28.9","11.6","3.4","2.3"
"Dearica Hamby","LAS","F","6-03","Norcross, GA","","2015","1993-11-06","29","32","24.1","9.4","5.7","1.8"
"Jonquel Jones","NYL","C","6-06","Freeport, Bahamas","","2016","1994-01-05","29","33","24.8","12.3","8.7","1.7"
"Brittney Sykes","WSH","F","5-09","Newark, NJ","","2017","1994-02-07","29","33","30.5","15.3","4.8","3.8"
"Moriah Jefferson","PHX","G","5-06","Dallas, TX","","2016","1994-03-08","29","32","22.8","8.9","1.7","3.2"
"Nikolina Milic","MIN","F","6-03","Bosnia and Herzegovina","","2022","1994-04-12","29","33","12.8","6.2","2.5","0.9"
"Jennie Simms","PHX","F","6-00","Fort Washington, MD","","2017","1994-04-21","29","6","11.3","2.2","2.2","0.5"
"Courtney Williams","CHI","G","5-08","Folkston, GA","","2016","1994-05-11","29","33","29.4","9.4","5.7","5.9"
"Aerial Powers","MIN","G","5-09","Detroit, MI","","2017","1994-07-17","29","23","5.7","3.3","1.1","0.3"
"Kelsey Plum","LVA","G","5-08","Poway, CA","","2017","1994-08-24","29","34","31.7","18.8","2.5","4.4"
"Bernadett Hatar","CON","DND","6-10","Pásztó, Hungary","","2021","1994-08-24","29","6","4.2","1.3","0.7","0.0"
"Breanna Stewart","NYL","F","6-04","Syracuse, NY","","2017","1994-08-27","28","33","34.0","22.5","9.0","3.6"
"Kahleah Copper","CHI","F","6-01","Philadelphia, PA","","2016","1994-08-28","28","32","31.0","18.3","4.2","1.9"
"Tiffany Mitchell","MIN","G","5-09","Charlotte, NC","","2016","1994-09-23","28","32","18.9","6.8","1.9","1.7"
"Lexie Brown","LAS","G","5-09","Boston, MA","","2018","1994-10-24","28","16","24.3","9.6","1.8","2.1"
"Victoria Vivians","IND","F","6-01","Jackson, MS","","2018","1994-11-17","28","32","16.0","5.1","3.0","1.3"
"Li Meng","WSH","F","6-00","Liaoning, China","","2023","1995-01-02","28","27","15.5","5.3","1.2","1.1"
"Allisha Gray","ATL","G","6-00","Sandersville, GA","","2017","1995-01-12","28","31","32.5","17.5","4.9","3.2"
"Marine Johannes","NYL","G","5-10","Lisieux, France","","2019","1995-01-21","28","29","18.3","7.6","1.4","1.7"
"Linnae Harper","WSH","G","5-07","Chicago, IL","","2018","1995-01-31","28","14","4.6","1.4","0.6","0.3"
"Diamond DeShields","DAL","DND","6-01","West Palm Beach, FL","","2018","1995-03-05","28","2","0.0","0.0","0.0","0.0"
"Lindsay Allen","MIN","G","5-08","Clinton, MD","","2017","1995-03-20","28","32","21.3","5.6","2.2","4.1"
"Alaina Coates","PHX","F","6-04","Irmo, SC","","2018","1995-04-07","28","2","2.7","1.2","0.9","0.0"
"Karlie Samuelson","LAS","F","6-00","Fullerton, CA","","2018","1995-05-10","28","30","23.7","7.3","2.4","1.7"
"Shatori Walker-Kimbrough","WSH","G","5-09","Baltimore, MD","","2021","1995-05-18","28","33","24.7","6.2","2.1","1.7"
"Nia Coffey","ATL","F","6-01","Saint Paul, MN","","2017","1995-06-11","28","30","21.5","7.0","4.9","1.6"
"Mercedes Russell","SEA","F","6-06","Springfield, OR","","2018","1995-07-27","28","30","17.0","4.3","3.9","1.1"
"Jordin Canada","LAS","G","5-06","Los Angeles, CA","","2018","1995-08-11","28","30","31.8","13.7","3.2","6.0"
"Kelsey Mitchell","IND","G","5-08","Cincinnati, OH","","2018","1995-11-12","27","32","32.6","17.6","1.3","3.0"
"Brionna Jones","CON","C","6-03","Baltimore, MD","","2017","1995-12-18","27","19","21.3","10.9","5.6","1.6"
"Kristy Wallace","IND","G","5-11","Loganholme, Australia","","2022","1996-01-03","27","32","19.5","6.3","2.3","2.0"
"Azura Stevens","LAS","C","6-06","Pawtucket, RI","","2018","1996-02-01","27","28","23.1","9.7","5.2","0.8"
"Kia Nurse","SEA","F","6-00","Hamilton, Canada","","2018","1996-02-22","27","33","19.4","5.5","2.3","1.5"
"Myisha Hines-Allen","WSH","F","6-01","Montclair, NJ","","2018","1996-05-30","27","28","16.5","5.6","4.1","2.0"
"Brianna Turner","PHX","F","6-03","Pearland, TX","","2019","1996-07-05","27","32","26.3","3.6","6.2","1.3"
"Ariel Atkins","WSH","G","5-08","Dallas, TX","","2018","1996-07-30","27","23","24.7","11.4","3.2","2.3"
"Khaalia Hillsman","CHI","F","6-05","Memphis, TN","","2023","1996-08-01","27","1","0.0","0.0","0.0","0.0"
"A'ja Wilson","LVA","F","6-04","Hopkins, SC","","2018","1996-08-08","27","35","30.2","21.9","9.4","1.7"
"Sophie Cunningham","PHX","F","6-01","Columbia, MO","","2019","1996-08-16","27","29","28.8","11.9","2.9","2.1"
"Gabby Williams","SEA","F","5-11","Sparks, NV","","2018","1996-09-09","26","16","17.6","5.2","2.2","2.4"
"Alanna Smith","CHI","F","6-04","Hobart, Australia","","2019","1996-09-10","26","33","27.5","10.1","6.9","1.9"
"Jessica Shepard","MIN","C","6-03","Fremont, NE","","2019","1996-09-11","26","28","19.0","5.9","5.2","2.3"
"Marina Mabrey","CHI","G","5-11","Belmar, NJ","","2019","1996-09-14","26","32","29.1","14.8","3.9","3.4"
"Napheesa Collier","MIN","F","6-02","Jefferson City, MO","","2019","1996-09-23","26","34","29.9","19.7","7.2","2.2"
"Teaira McCowan","DAL","C","6-07","Bryan, TX","","2019","1996-09-28","26","26","23.9","11.3","8.6","1.4"
"Megan Gustafson","PHX","F","6-03","Green Bay, WI","","2019","1996-12-13","26","27","13.1","7.0","3.7","0.6"
"Natisha Hiedeman","CON","G","5-08","Green Bay, WI","","2019","1997-02-10","26","34","25.9","8.2","2.1","2.7"
"Arike Ogunbowale","DAL","G","5-08","Milwaukee, WI","","2019","1997-03-02","26","35","36.6","20.5","3.4","4.5"
"Kristine Anigwe","CHI","F","6-04","Phoenix, AZ","","2019","1997-03-31","26","9","6.8","2.1","1.8","0.3"
"Asia Durr","ATL","G","5-10","Douglasville, GA","","2019","1997-04-05","26","30","11.2","5.3","1.2","0.8"
"Morgan Bertsch","CHI","F","6-04","Santa Rosa, CA","","2023","1997-04-20","26","24","12.0","3.7","1.6","0.7"
"Bridget Carleton","MIN","F","6-01","Chatham, Canada","","2019","1997-05-22","26","32","14.0","3.5","2.3","0.7"
"Katie Lou Samuelson","LAS","DND","6-03","Fullerton, CA","","2019","1997-06-13","26","2","0.0","0.0","0.0","0.0"
"Jackie Young","LVA","F","6-00","Princeton, IN","","2019","1997-09-16","25","35","31.3","18.1","3.9","3.7"
"Arella Guirantes","SEA","G","5-11","Long Island, NY","","2021","1997-10-15","25","10","4.2","1.2","0.6","0.3"
"Sabrina Ionescu","NYL","G","5-11","Orinda, CA","","2020","1997-12-06","25","31","31.2","17.1","5.9","5.5"
"Ivana Dojkic","SEA","G","5-11","Rijeka, Croatia","","2023","1997-12-24","25","23","19.6","6.5","1.7","2.8"
"DiJonai Carrington","CON","G","5-11","San Diego, CA","","2021","1998-01-08","25","31","15.7","7.8","2.6","1.1"
"Joyner Holmes","LAS","F","6-03","Dallas, TX","","2020","1998-02-22","25","5","10.1","3.3","2.4","0.9"
"Kaila Charles","SEA","F","6-01","Glenn Dale, MD","","2020","1998-03-23","25","4","9.5","1.5","1.2","0.2"
"Jocelyn Willoughby","NYL","F","6-00","Newark, NJ","","2020","1998-03-25","25","25","5.0","1.1","0.5","0.4"
"Lauren Cox","CON","F","6-04","Flower Mound, TX","","2020","1998-04-20","25","1","0.0","0.0","0.0","0.0"
"Satou Sabally","DAL","F","6-04","New York City, NY","","2020","1998-04-25","25","34","32.8","17.7","8.5","4.2"
"Ruthy Hebard","CHI","F","6-04","Chicago, IL","","2020","1998-04-28","25","14","8.4","3.9","2.4","0.5"
"Tyasha Harris","CON","G","5-10","East Lansing, MI","","2020","1998-05-01","25","34","15.0","5.0","0.8","1.6"
"Crystal Dangerfield","DAL","G","5-05","Murfreesboro, TN","","2020","1998-05-11","25","30","27.3","8.2","2.8","3.1"
"Dana Evans","CHI","G","5-06","Gary, IN","","2021","1998-08-01","25","32","20.6","8.9","1.1","3.1"
"Aari McDonald","ATL","G","5-06","Fresno, CA","","2021","1998-08-20","25","19","20.9","6.6","1.9","2.7"
"Evina Westbrook","PHX","F","6-00","Salem, OR","","2022","1998-09-28","24","9","7.1","1.4","1.1","0.5"
"Monique Billings","ATL","G","5-11","Riverside, CA","","2018","1998-12-15","24","31","13.4","4.3","4.0","0.6"
"Maya Caldwell","IND","G","5-11","Charlotte, NC","","2022","1998-12-15","24","24","9.4","1.9","0.9","0.8"
"Sug Sutton","PHX","G","5-08","St. Louis, MO","","2020","1998-12-17","24","32","24.2","7.4","2.2","4.4"
"Lorela Cubaj","ATL","F","6-04","Terni, Italy","","2022","1999-01-08","24","3","5.7","0.0","2.3","0.0"
"Destanni Henderson","LAS","G","5-07","Fort Myers, FL","","2022","1999-02-02","24","10","12.8","3.8","0.8","1.8"
"Grace Berger","IND","F","6-00","Louisville, KY","","2023","1999-06-03","24","29","12.9","4.0","1.4","1.8"
"Sam Thomas","PHX","F","6-00","Las Vegas, NV","","2022","1999-06-14","24","1","10.0","0.0","1.0","0.0"
"Abby Meyers","WSH","F","6-00","Potomac, MD","","2023","1999-07-14","24","9","3.6","1.4","0.4","0.0"
"Dulcy Fankam Mendjiadeu","SEA","C","6-04","Nkongsamba, Cameroon","","2023","1999-07-26","24","26","14.9","4.6","4.8","0.3"
"Michaela Onyenwere","PHX","F","6-00","Aurora, CO","","2021","1999-08-10","24","32","22.2","9.1","3.8","1.4"
"Ezi Magbegor","SEA","F","6-04","Wellington, New Zealand","","2020","1999-08-13","24","33","32.0","13.8","7.8","2.4"
"Lexie Hull","IND","F","6-01","Liberty Lake, WA","","2022","1999-09-13","23","30","18.8","4.5","2.5","1.0"
"Kayana Traylor","MIN","F","6-00","Potomac, MD","","2023","1999-09-27","23","8","3.8","1.0","0.1","0.4"
"Taylor Mikesell","ATL","G","5-10","Massillon, OH","","2023","1999-09-30","23","6","4.3","2.8","0.3","0.3"
"Han Xu","NYL","","6-10","Shijiazhuang, China","","2019","1999-10-31","23","7","2.4","0.6","0.3","0.0"
"Victaria Saxton","IND","F","6-02","Rome, GA","","2023","1999-11-10","23","11","2.3","1.1","0.6","0.0"
"Dorka Juhasz","MIN","C","6-05","Pécs, Hungary","","2023","1999-12-18","23","34","21.2","5.3","5.6","2.1"
"Taylor Soule","CHI","F","6-05","Memphis, TN","","2023","2000-01-05","23","12","3.0","0.6","0.5","0.2"
"Jasmine Dickey","DAL","G","5-09","Baltimore, MD","","2022","2000-02-23","23","15","5.5","1.9","0.7","0.1"
"Nyara Sabally","NYL","F","6-05","Berlin, Germany","","2023","2000-02-26","23","30","7.6","2.3","2.1","0.2"
"Kierstan Bell","LVA","F","6-01","Alliance, OH","","2022","2000-03-16","23","32","11.5","3.9","1.5","0.4"
"Ashley Joens","DAL","G","5-10","Melbourne, Australia","","2023","2000-03-16","23","8","1.7","0.4","0.2","0.0"
"Naz Hillmon","ATL","F","6-02","Cleveland, OH","","2022","2000-04-05","23","32","12.3","3.6","3.0","0.7"
"Rhyne Howard","ATL","F","6-02","Chattanooga, TN","","2022","2000-04-29","23","31","32.4","17.7","4.6","3.3"
"Emily Engstler","MIN","F","6-01","New York, NY","","2022","2000-05-01","23","12","7.2","1.8","2.4","0.6"
"Nia Clouden","LAS","G","5-09","Owings Mills, MD","","2022","2000-05-17","23","11","5.0","0.7","0.2","0.8"
"Rae Burrell","LAS","F","6-02","Las Vegas, NV","","2022","2000-06-21","23","21","8.7","2.7","1.1","0.4"
"Queen Egbo","IND","F","6-04","Houston, TX","","2022","2000-06-29","23","15","12.9","5.2","4.5","0.3"
"Veronica Burton","DAL","G","5-09","Newton, MA","","2022","2000-07-12","23","35","13.6","2.3","1.6","2.3"
"Leigha Brown","CON","F","6-01","Auburn, IN","","2023","2000-07-14","23","19","3.3","0.5","0.6","0.3"
"Shakira Austin","WSH","C","6-05","Fredericksburg, VA","","2022","2000-07-25","23","17","22.5","10.1","6.9","0.9"
"NaLyssa Smith","IND","F","6-04","San Antonio, TX","","2022","2000-08-08","23","28","23.4","12.5","8.0","1.1"
"Olivia Nelson-Ododa","CON","F","6-05","Lansing, MI","","2022","2000-08-17","23","33","12.6","3.5","3.2","0.6"
"Liz Dixon","PHX","G","5-10","Melbourne, Australia","","2023","2000-09-29","22","9","5.5","2.1","1.1","0.2"
"Zia Cooke","LAS","G","5-09","Toledo, OH","","2023","2001-01-09","22","32","13.4","4.6","1.0","0.8"
"Diamond Miller","MIN","F","6-03","Montclair, NJ","","2023","2001-02-11","22","30","21.5","10.0","3.1","2.4"
"Jordan Horston","SEA","F","6-02","Dallas, TX","","2023","2001-05-21","22","31","19.7","6.9","4.6","1.4"
"Haley Jones","ATL","F","6-01","Santa Cruz, CA","","2023","2001-05-23","22","32","15.1","4.3","2.4","2.6"
"Laeticia Amihere","ATL","F","6-03","Mississauga, Canada","","2023","2001-07-10","22","15","8.1","3.6","1.2","0.2"
"Iliana Rupert","ATL","F","6-04","Sèvres, France","","2022","2001-07-12","22","13","9.4","2.0","2.8","0.7"
"Awak Kuier","DAL","F","6-04","Cairo, Egypt","","2021","2001-08-19","22","32","9.0","2.1","2.3","0.5"
"Aliyah Boston","IND","C","6-05","U.S. Virgin Islands","","2023","2001-12-11","21","32","30.4","15.2","8.2","2.0"
"Jade Melbourne","SEA","G","5-10","Melbourne, Australia","","2023","2002-08-18","21","24","11.0","3.0","1.3","1.4"
